"repo","level","compatLabel","minTrain","coversCurrent","manifestType","pkgName","engines","evidence"
"openma-ai/open-managed-agents","D","not-a-plugin","","false","none","open-managed-agents","{""node"":""24.x""}","catalog isDshPlugin=false, no manifest/deps"
"try-works/role-model","D","not-a-plugin","","false","none","role-model","{""node"":"">=24 <25""}","catalog isDshPlugin=false, no manifest/deps"
"irmia2026/irmia_devkit_open","D","not-a-plugin","","false","none","","","catalog isDshPlugin=false, no manifest/deps"
"834063245-creator/HoloGram","C","unknown","","false","none","","","no manifest/deps at root; kind=plugin?; signals=readme-mentions-dsh"
"omdsh-dev/dsh-custom-tool","B","0.0.1-rc.1+(inferred)","0.0.1-rc.1","false","cordis.patch.yml","dsh-custom-tool","{""node"":""^22.19 || >=24""}","cordis.patch.yml + @deepseek-ai deps: @deepseek-ai/cordis@^4.0.1-rc.1, @deepseek-ai/dsh-llm@link:../dsh/packages/llm/llm, @deepseek-ai/dsh-settings@^0.0.1-rc.1, @deepseek-ai/dsh-tools@^0.0.1-rc.1, @deepseek-ai/dsh-system-prompt@^0.0.1-rc.1, @deepseek-ai/dsh-client-runtime@^0.0.1-rc.1, @deepseek-ai/dsh-client-ui-settings@^0.0.1-rc.1, @deepseek-ai/dsh-client-ui-slots@^0.0.1-rc.1, @deepseek-ai/dsh-client-locale@^0.0.1-rc.1, @deepseek-ai/dsh-client-ui-theme@link:../dsh/packages/client/ui-theme, @deepseek-ai/schemastery@link:../dsh/vendor/schemastery"
"bobleer/dsh-acp-for-bitfun","A","0.1.0-rc.6+","0.1.0-rc.6","true","cordis.patch.yml","dsh-acp-for-bitfun","","cordis.patch.yml; ranges cover current (min=0.1.0-rc.6): @deepseek-ai/dsh-subagent-acp@^0.1.0-rc.6, @deepseek-ai/dsh-tool-subagent@^0.1.0-rc.6, @deepseek-ai/schemastery@^3.18.1, @deepseek-ai/cordis@^4.0.1"
"omdsh-dev/fabric","B","runtime-injected","","false","cordis.patch.yml","@oh-my-dsh/stent-pack","{""node"":""^22.19.0 || >=24.0.0""}","cordis.patch.yml at root; no @deepseek-ai deps (web-client runtime injection)"
"LoserFox/dsh-git-identity","B","runtime-injected","","false","cordis.patch.yml","@loserfox/git-identity","","cordis.patch.yml at root; no @deepseek-ai deps (web-client runtime injection)"
"gfhdhytghd/Hypr-Agent-Protal","D","not-a-plugin","","false","none","","","catalog isDshPlugin=false, no manifest/deps"
"LoserFox/telegram","B","0.0.1-rc.1+(inferred)","0.0.1-rc.1","true","cordis.patch.yml","@loserfox/telegram","","cordis.patch.yml + @deepseek-ai deps: @deepseek-ai/dsh-agent@^0.1.0-rc.6, @deepseek-ai/dsh-llm@^0.0.1-rc.1, @deepseek-ai/dsh-session@^0.0.1-rc.1, @deepseek-ai/cordis@^4.0.1, @deepseek-ai/schemastery@^3.18.1"
"scotthuang/agent-knock-knock","D","not-a-plugin","","false","none","@scotthuang/agent-knock-knock","{""node"":"">=22.19.0""}","catalog isDshPlugin=false, no manifest/deps"
"lhh010/dsh-bash-encoding","B","declared-deps","","false","none","@dsh-external/dsh-bash-encoding","","@deepseek-ai deps but no cordis.patch.yml: @deepseek-ai/dsh-shell@>=0.0.1-rc.2, @deepseek-ai/cordis@^4.0.1-rc.1, @deepseek-ai/schemastery@^3.18.1-rc.1, @deepseek-ai/dsh-sandbox@link:../.dsh/source/current/packages/sandbox/sandbox"
"omdsh-dev/dsh-data-agent","A","0.1.0-rc.7+","0.1.0-rc.7","true","cordis.patch.yml","@yejiming/dsh-data-agent","","cordis.patch.yml; ranges cover current (min=0.1.0-rc.7): @deepseek-ai/cordis@^4.0.1, @deepseek-ai/dsh-agent@^0.1.0-rc.7, @deepseek-ai/dsh-agent-presets@^0.1.0-rc.7, @deepseek-ai/dsh-attachment@0.1.0-rc.7, @deepseek-ai/dsh-client-locale@^0.1.0-rc.7, @deepseek-ai/dsh-client-runtime@^0.1.0-rc.7, @deepseek-ai/dsh-client-ui-conversation@^0.1.0-rc.7, @deepseek-ai/dsh-client-ui-primitives@^0.1.0-rc.7, @deepseek-ai/dsh-client-ui-settings@0.1.0-rc.7, @deepseek-ai/dsh-client-ui-slots@^0.1.0-rc.7, @deepseek-ai/dsh-client-ui-tool@^0.1.0-rc.7, @deepseek-ai/dsh-commands@^0.1.0-rc.7, @deepseek-ai/dsh-credentials@^0.1.0-rc.7, @deepseek-ai/dsh-host-webserver@^0.1.0-rc.7, @deepseek-ai/dsh-invariants@^0.1.0-rc.7, @deepseek-ai/dsh-llm@^0.1.0-rc.7, @deepseek-ai/dsh-scope@^0.1.0-rc.7, @deepseek-ai/dsh-session@^0.1.0-rc.7, @deepseek-ai/dsh-storage@^0.1.0-rc.7, @deepseek-ai/dsh-storage-domain@^0.1.0-rc.7, @deepseek-ai/dsh-storage-json@^0.1.0-rc.7, @deepseek-ai/dsh-subprocess@^0.1.0-rc.7, @deepseek-ai/dsh-subprocess-local@0.1.0-rc.7, @deepseek-ai/dsh-tools@^0.1.0-rc.7, @deepseek-ai/dsh-typert-protocol@0.1.0-rc.7, @deepseek-ai/dsh-user-questions@^0.1.0-rc.7, @deepseek-ai/schemastery@3.18.1"
"coppynight/dsh-doctor","C","unknown","","false","none","","","no manifest/deps at root; kind=docs; signals=readme-mentions-dsh"
"Chinesezjc/dsh-interconnect","B","declared","","true","cordis.patch.yml","dsh-interconnect","","cordis.patch.yml + @deepseek-ai deps: @deepseek-ai/cordis@*, @deepseek-ai/schemastery@*, @deepseek-ai/dsh-agent@*, @deepseek-ai/dsh-api-remotes@*, @deepseek-ai/dsh-credentials@*, @deepseek-ai/dsh-llm@*, @deepseek-ai/dsh-session@*, @deepseek-ai/dsh-subagent@*, @deepseek-ai/dsh-host-apiproxy@*, @deepseek-ai/dsh-host-webserver@*, @deepseek-ai/dsh-tools@*, @deepseek-ai/dsh-skill@*, @deepseek-ai/dsh-invariants@*, @deepseek-ai/dsh-system-prompt@link:../dsh/packages/core/system-prompt"
"whiteguo233/dsh-openbiliclaw","B","0.1.1-rc.2+(pkg-name)","0.1.1-rc.2","true","package.json","@openbiliclaw/dsh-plugin","","plugin-named package.json, signals=@deepseek-ai/dsh-client-runtime,@deepseek-ai/dsh-client-ui-layout,@deepseek-ai/dsh-client-ui-slots,@deepseek-ai/dsh-tools,@deepseek-ai/cordis,@deepseek-ai/schemastery"
"omdsh-dev/dsh-plugin-check","B","0.0.1-rc.1+(inferred)","0.0.1-rc.1","true","cordis.patch.yml","@omdsh-dev/dsh-plugin-check","{""node"":""^22.19.0 || >=24.0.0""}","cordis.patch.yml + @deepseek-ai deps: @deepseek-ai/cordis@^4.0.1, @deepseek-ai/dsh-invariants@>=0.0.1-rc.1 <0.2.0, @deepseek-ai/dsh-tools@>=0.0.1-rc.1 <0.2.0"
"omdsh-dev/dsh-security-audit","B","0.0.1-rc.1+(inferred)","0.0.1-rc.1","true","cordis.patch.yml","@deepseek-ai/dsh-security-audit","{""node"":""^22.19.0 || >=24.0.0""}","cordis.patch.yml + @deepseek-ai deps: @deepseek-ai/cordis@^4.0.1, @deepseek-ai/dsh-invariants@>=0.0.1-rc.1 <0.2.0, @deepseek-ai/dsh-tools@>=0.0.1-rc.1 <0.2.0"
